RAAD type number;RAAD form;Origin;Contents;Southampton type number;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;;;;;;;;;;;;;;;
59;Ostia L/ Gauloise 5;Gaul;Wine;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Pascual 1 sim;Gaul;Wine;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Pelichet 46;Gaul;Fish sauce;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Vindonissa 588;Gaul;Fish sauce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Augst 31/ Vindonissa 577;Gaul;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Gauloise 13;Gaul - Belgic;Unknown;110;;;;;;;;;;;;;;113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Gauloise 15;Gaul - Belgic;Unknown;112;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Gauloise 2;Gaul - Burgundy;Wine;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Augst 35;Gaul - Frejus;Fish sauce;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Lyon 5/ Dressel 16;Gaul - Frejus;Fish sauce;66;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
69;Anfore saumure;Gaul - Lyon;Fish sauce;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Dressel 14;Gaul - Lyon;Fish sauce;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
71;Dressel 7;Gaul - Lyon;Fish sauce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Dressel 9 sim;Gaul - Lyon;Fish sauce;100;;;;2;;;;;479;10;;;;3;18;2;5;;;4;;;8;3;6;;1;;1;2;;;153;;4;;;55;3;;1;1;1;1;3;1;;;;3;;;;;;;;;1;8;;1;10;11;;9;;;;;;;;;;;;3;18;;;;;;;;;;;;;;;
73;Gauloise 2;Gaul - Lyon;Wine;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Gauloise 4;Gaul - Lyon;Wine;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
75;Lyon 1-2/Dressel 1;Gaul - Lyon;Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Lyon 1/Dressel 1b;Gaul - Lyon;Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Lyon 2/Dressel 2-4;Gaul - Lyon;Wine;;;;;;5;;;;;;;;;;;;;;;2;;;;;;;;2;;;;;6;;;;;22;;1;;;;;1;1;;;;11;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
78;Lyon 3;Gaul - Lyon;Fish sauce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Lyon 3a;Gaul - Lyon;Fish sauce;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;6;1;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Lyon 3b;Gaul - Lyon;Fish sauce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;6;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Lyon 4/Augst 17;Gaul - Lyon;Fish sauce or Defrutum;31;;;;8;;;;;91;;3;;;;;;;1;;;;;;;19;;3;;5;;;;12;2;;;;22;;;;;;;;5;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
82;Lyon 5/Dressel 16;Gaul - Lyon;Wine;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Lyon 7a/Haltern 70 sim;Gaul - Lyon;Olives;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;8;;;;;;;;;;5;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;
84;Pascual 1;Gaul - Lyon;Wine;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;Unknown;Gaul - Lyon;Unknown;;;;;3;;;;;;;1;;;;;;;;;;;;;;7;;;;7;2;;;23;;;;;83;;14;;3;2;1;2;;;;;28;;;;;;;;;;;;;;3;;;;;;;;;;;;;;4;5;;;;;;;;;;;;;;;
86;Dressel 16;Gaul - Marseille;Fish sauce;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Dressel 2-4;Gaul - Marseille;Wine;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;15;;;;;;;1;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Dressel 7-11;Gaul - Marseille;Fish sauce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Gauloise 2;Gaul - Marseille;Wine;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
90;Gauloise 2-3;Gaul - Marseille;Wine;114 or 115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Gauloise 2/8;Gaul - Marseille;Wine;114 or 122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Gauloise 3;Gaul - Marseille;Wine;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Gauloise 4;Gaul - Marseille;Wine;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
94;Unknown;Gaul - Marseille;Unknown;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;1;;;1;;;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;
95;Unknown;Gaul - Unknown;Unknown;;;;1;;1;;;;63;47;;;;16;3;;;;;;;;;;;;;;;;;;12;;;;1;;6;26;1;1;1;1;5;;;;;27;;;;;;;;;;8;;;4;10;;3;;;;;;;3;;51;;11;;104;;;;;;;;;;;;;;;
96;Gauloise 4/ Pelichet 47 sim;Germania;Unknown;;;;1;;;;;;;;;;;;;;;;;;;4;;;1;1;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
97;Low Lands ware;Germania;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
98;Camulodunum 162;Germania - local;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Camulodunum 165;Germania - local;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Friedberg 30;Germania - local;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Oberaden 51;Germania - local;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Camulodunum 163;Germania - NW Gaul;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Scheldt valley group 3;Germania - NW Gaul;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Unknown;Germania - NW Gaul;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Dressel 20 sim;Germania - Rhineland;Unknown;;;;36;59;;;;;;;14;;;;;;;;;;;73;;;64;11;8;1;;;100;1;;110;;;;108;;;;;;;;400;23;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;142;3;;;;;;;;;;;;;;;
106;Flat bottom (Niederbieber 74/75);Germania - Rhineland;Unknown;;;;9;27;;;;;;;4;83;;;;;;;;;;19;;;13;11;23;;1;2;14;8;;33;47;;;189;;;;;;;;119;4;1;;;;;;;87;;;;;;;;;;9;;15;;;;;;;1;;28;;14;18;;;;;;;;;;;;;;;
107;Gauloise 14/ Dressel 20 Sim;Germania - Rhineland;Unknown;111;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Gauloise 5;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
