Assemblage number;Site name (modern);Site name (ancient);Modern country;Roman Province;Pleiades;DARE;Vici;Lat;Long;Major site type;Minor site type;Start date (AD);End date (AD);Quantification method;Quantification abbreviation;Total assemblage size;Reference;;;;;
34;Kleiner Feldberg;;Germany;Germania Superior;108979;;;50,221667009;8,445833160;Military;Numerus;160;260;Maximum number of individuals;MAX;193;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
35;Köln-Alteburg;;Germany;Germania Inferior;109085;;;50,902961794;6,972528456;Military;Classis Germanicus;50;260;Minimum number of individuals;MNI;240;Hanel, N. (2003). Die amphoren der Ausgrabungen 1998 im Hauptstu?tzpunkt der Classis Germanica ‘Alteburg’ bei der Colonia Claudia Ara Agrippinensium – einVorbericht, Rei Cretariae Romanae Fautorum Acta 38, 361–4.;;;;;
36;Leidsche Rijn-Hogeweide;;Netherlands;Germania Inferior;;;14485;52,095782101;5,067618800;Settlement;Rural;25;75;Minimum number of individuals;MNI;21;Niemeijer, R. A. J. (2006). Het Romeinse Gedraaide Aardewerk van de Nederzetting Leidsche Rijn-Hogeweide. Auxiliaria 5. Nijmegen.;;;;;
37;Lorenzburg bei Epfach;Abodiacum;Germany;Raetia;187242;;;47,914490894;10,916169981;Military;Auxiliary;15;50;Minimum number of individuals;MNI;17;Schimmer, F. (2012). Amphoren aus Cambodunum/Kempten: ein Beitrag zur Handelsgeschichte der römischen Provinz Raetia. (Münchner Beiträge zur provinzialrömischen Archäologie 1). Wiesbaden.;;;;;
38;Mainz;Mogontiacum;Germany;Germania Superior;109169;;;49,995114562;8,267411466;Settlement;Provincial capital;-16;450;Rims, bases, and handles;RBH;4821;Ehmig, U. (2003). Die römischen Amphoren aus Mainz (Frankfurter archäologische Schriften 4). Möhnesee.;;;;;
39;Metz;Divodurum;France;Gallia Belgica;108927;;;49,115590510;6,174285331;Settlement;Civitas Capital;1;400;Minimum number of individuals;MNI;209;Baudoux, J. (1996). Les amphores du nord-est de la Gaule (territoire français): contribution à l’histoire de l’économie provinciale sous l’Empire romain (Documents d’archéologie française 52). Paris.;;;;;
40;Neuss book;Novaesium;Germany;Germania Inferior;109215;;;51,198427675;6,695272731;Military;Legion;-16;28;Minimum number of individuals;MNI;527;González Cesteros, H. and Berni Millet, P. (2018). Roman amphorae in Neuss: Augustan to Julio-Claudian contexts (Roman and late antique Mediterranean pottery 12). Oxford [United Kingdom].;;;;;
41;Neuss camp 1;Novaesium;Germany;Germania Inferior;109215;;;51,198427675;6,695272731;Military;Legion;-16;-12;Minimum number of individuals;MNI;13;"Carreras Monfort, C. and González Cesteros, H. (2013). Las ánforas de los Campamentos de Neuss (Renania, Alemania), in D. Bernal, L.C. Juan, M. Bustamante, J.J. Díaz and A.M. Sáez (eds) Hornos, Talleres, y Focos de Producción Alferera en Hispania, Cádiz, 281-97. ; Carreras Monfort, C. and Berni, P. (2015). Hispanic imports in the first military camps of Novaesium (Neuss): Lager 1-7 (Augustus-Flavians), Marburger Beiträge zur antiken Handels-, Wirtschafts-, und Sozialgeschichte, 32, 173-208.";;;;;
42;Neuss camp 2;Novaesium;Germany;Germania Inferior;109215;;;51,198427675;6,695272731;Military;Legion;-12;-8;Minimum number of individuals;MNI;45;"Carreras Monfort, C. and González Cesteros, H. (2013). Las ánforas de los Campamentos de Neuss (Renania, Alemania), in D. Bernal, L.C. Juan, M. Bustamante, J.J. Díaz and A.M. Sáez (eds) Hornos, Talleres, y Focos de Producción Alferera en Hispania, Cádiz, 281-97. ; Carreras Monfort, C. and Berni, P. (2015). Hispanic imports in the first military camps of Novaesium (Neuss): Lager 1-7 (Augustus-Flavians), Marburger Beiträge zur antiken Handels-, Wirtschafts-, und Sozialgeschichte, 32, 173-208.";;;;;
43;Neuss camp 3;Novaesium;Germany;Germania Inferior;109215;;;51,198427675;6,695272731;Military;Legion;-8;-4;Minimum number of individuals;MNI;32;"Carreras Monfort, C. and González Cesteros, H. (2013). Las ánforas de los Campamentos de Neuss (Renania, Alemania), in D. Bernal, L.C. Juan, M. Bustamante, J.J. Díaz and A.M. Sáez (eds) Hornos, Talleres, y Focos de Producción Alferera en Hispania, Cádiz, 281-97. ; Carreras Monfort, C. and Berni, P. (2015). Hispanic imports in the first military camps of Novaesium (Neuss): Lager 1-7 (Augustus-Flavians), Marburger Beiträge zur antiken Handels-, Wirtschafts-, und Sozialgeschichte, 32, 173-208.";;;;;
44;Neuss camp 4;Novaesium;Germany;Germania Inferior;109215;;;51,198427675;6,695272731;Military;Legion;-4;16;Minimum number of individuals;MNI;11;"Carreras Monfort, C. and González Cesteros, H. (2013). Las ánforas de los Campamentos de Neuss (Renania, Alemania), in D. Bernal, L.C. Juan, M. Bustamante, J.J. Díaz and A.M. Sáez (eds) Hornos, Talleres, y Focos de Producción Alferera en Hispania, Cádiz, 281-97. ; Carreras Monfort, C. and Berni, P. (2015). Hispanic imports in the first military camps of Novaesium (Neuss): Lager 1-7 (Augustus-Flavians), Marburger Beiträge zur antiken Handels-, Wirtschafts-, und Sozialgeschichte, 32, 173-208.";;;;;
45;Neuss camp 5-7;Novaesium;Germany;Germania Inferior;109215;;;51,198427675;6,695272731;Military;Legion;16;28;Minimum number of individuals;MNI;76;"Carreras Monfort, C. and González Cesteros, H. (2013). Las ánforas de los Campamentos de Neuss (Renania, Alemania), in D. Bernal, L.C. Juan, M. Bustamante, J.J. Díaz and A.M. Sáez (eds) Hornos, Talleres, y Focos de Producción Alferera en Hispania, Cádiz, 281-97. ; Carreras Monfort, C. and Berni, P. (2015). Hispanic imports in the first military camps of Novaesium (Neuss): Lager 1-7 (Augustus-Flavians), Marburger Beiträge zur antiken Handels-, Wirtschafts-, und Sozialgeschichte, 32, 173-208.";;;;;
46;Nida-Heddernheim;Nida;Germany;Germania Superior;109205;;;50,160026969;8,647162809;Settlement;Civitas Capital;70;260;Maximum number of individuals;MAX;2061;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
47;Nieder-Eschbach;;Germany;Germania Superior;;;25178;50,201260683;8,664339695;Villa;Villa;100;260;Maximum number of individuals;MAX;50;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
48;Niederursel;;Germany;Germania Superior;;;8715;50,165415637;8,621250352;Villa;Villa;100;260;Maximum number of individuals;MAX;101;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
49;Nijmegen;Batavodurum;Netherlands;Germania Inferior;98921;;;51,842865788;5,854620562;Military;Legion;-12;105;Rims, bases, and handles;RBH;659;Van der Werff, J.H. (1984). Roman amphoras at Nijmegen: a preliminary report, Berichten van de Rijksdienst voor het Oudheidkundig Bodemonderzoek, 34, 347-87.;;;;;
50;Nijmegen Kops Plateau;Batavodurum;Netherlands;Germania Inferior;98921;;;51,842865788;5,854620562;Military;Legion;-12;69;Minimum number of individuals;MNI;949;Carreras Monfort, C. and Berg, J. van den (eds.) (2017). Amphorae from the Kops Plateau (Nijmegen): trade and supply to the lower-Rhineland from the Augustan Period to AD 69/70 (Archaeopress Roman archaeology 20). Oxford.;;;;;
51;Oberaden;;Germany;Germania;109229;;;51,613927800;7,583267400;Military;Forward camp;-11;-8;Minimum number of individuals;MNI;341;González Cesteros, H. and Tremmel, B. (2011–12). Aceite, vino, y salazones Hispanos en Oberaden/Spanish olive oil, wine, and salted products in Oberaden, in Anales de Prehistoria y Archeología, 27–28, 527–42.;;;;;
52;Oberstimm;;Germany;Raetia;118891;;;48,712669333;11,454577377;Military;Auxiliary;43;120;Minimum number of individuals;MNI;21;Schimmer, F. (2012). Amphoren aus Cambodunum/Kempten: ein Beitrag zur Handelsgeschichte der römischen Provinz Raetia. (Münchner Beiträge zur provinzialrömischen Archäologie 1). Wiesbaden.;;;;;
53;Oedenburg A;Argentovaria?;France;Germania Superior;108755;;;48,038963981;7,545055911;Military;Auxiliary;40;70;Minimum number of individuals;MNI;228;Viroulet, B. and Baudoux, J. (2009). La céramique des camps, in M. Reddé (ed.) Oedenburg: fouilles françaises, allemandes et suisses à Biesheim et Kunheim, Haut-Rhin, France. Les Camps militaires Julio-Claudiens, Mainz, 169-229.;;;;;
54;Oedenburg B;Argentovaria?;France;Germania Superior;108755;;;48,041414509;7,545852695;Military;Auxiliary;20;40;Minimum number of individuals;MNI;73;Viroulet, B. and Baudoux, J. (2009). La céramique des camps, in M. Reddé (ed.) Oedenburg: fouilles françaises, allemandes et suisses à Biesheim et Kunheim, Haut-Rhin, France. Les Camps militaires Julio-Claudiens, Mainz, 169-229.;;;;;
55;Pforzheim;Portus;Germany;Germania Superior;118912;;;48,892580339;8,693236930;Settlement;Civitas Capital;85;260;Total sherds;Total;121;Kortüm, K. (1995). Portus-Pforzheim : Untersuchungen zur Archäologie und Geschichte in römischer Zeit. Sigmaringen. ;;;;;
56;Regensburg-Kumpfmuhl;Castra Regina;Germany;Raetia;118929;;;49,002227724;12,064645016;Military;Auxiliary;79;170;Minimum number of individuals;MNI;39;Schimmer, F. (2012). Amphoren aus Cambodunum/Kempten: ein Beitrag zur Handelsgeschichte der römischen Provinz Raetia. (Münchner Beiträge zur provinzialrömischen Archäologie 1). Wiesbaden.;;;;;
57;Rheinfelden;;Switzerland;Germania Superior;;38792;;47,551675093;7,792743551;Military;Storehouse;320;350;Rims, bases, and handles;RBH;14;Asal, M. and Hirt, A.M. (2005). Ein spätrömischer Getreidespeicher am Rhein: die Grabung Rheinfelden-Augarten West 2001 (Veröffentlichungen der Gesellschaft Pro Vindonissa 19). Brugg.;;;;;
58;Rödgen;;Germany;Germania Superior;;19229;;50,365459989;8,766051012;Military;Auxiliary;-11;-7;Maximum number of individuals;MAX;265;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
59;Rottweil;Arae Flaviae;Germany;Germania Superior;118572;;;48,166461181;8,627795857;Military;Legion;73;110;Minimum number of individuals;MNI;71;Franke, R. (2003). Arae Flaviae 5. Die Kastelle I und II von Arae Flaviae/Rottweil und die römische Okkupation des oberen Neckar gebietes, Stuttgart.;;;;;
60;Sierentz;;France;Germania Superior;;;16350;47,653967642;7,455857427;Military;Auxiliary;9;235;Minimum number of individuals;MNI;183;Baudoux, J. (1996). Les amphores du nord-est de la Gaule (territoire français): contribution à l’histoire de l’économie provinciale sous l’Empire romain (Documents d’archéologie française 52). Paris.;;;;;
61;Solothurn;Salodurum;Switzerland;Germania Superior;177624;;;47,208657067;7,537954977;Settlement;Vicus;1;300;Rims, bases, and handles;RBH;89;Roth-Rubi, K. (1975). “Die Gebrauchskeramik von der Fundstelle Solothurn-Kreditanstalt,” Jahrbuch für Solothurnische Geschichte 48: 241-351. ;;;;;
62;St-Ulrich;;France;Germania Superior;822279249;;;47,595611001;7,120411001;Villa;Villa;1;400;Minimum number of individuals;MNI;61;"Baudoux, J. (1996). Les amphores du nord-est de la Gaule (territoire français): contribution à l’histoire de l’économie provinciale sous l’Empire romain (Documents d’archéologie française 52). Paris. ; Baudoux, J. 1998. Les Amphores à Strasbourg: Fouilles récentes du tramway (homme de fer) et de la rue Hannong, in F. Laubenheimer (ed.) Les Amphores en Gaule 2: Production et Circulation, Paris, 91-105.";;;;;
63;Strasbourg;Argentorate;France;Germania Superior;108754;;;48,582042739;7,745647847;Settlement;Civitas Capital;1;400;Minimum number of individuals;MNI;307;Baudoux, J. (1996). Les amphores du nord-est de la Gaule (territoire français): contribution à l’histoire de l’économie provinciale sous l’Empire romain (Documents d’archéologie française 52). Paris.;;;;;
64;Strasbourg l'Homme de Fer;Argentorate;France;Germania Superior;108754;;;48,582042739;7,745647847;Settlement;Civitas Capital;1;200;Minimum number of individuals;MNI;215;Baudoux, J. (1996). Les amphores du nord-est de la Gaule (territoire français): contribution à l’histoire de l’économie provinciale sous l’Empire romain (Documents d’archéologie française 52). Paris.;;;;;
65;Tiel Passewaaij;;Netherlands;Germania Inferior;;;326;51,873697548;5,392403357;Settlement;Rural;-15;170;Minimum number of individuals;MNI;17;Heeren, S. (2009). Romanisering van Rurale Gemeenschappen in de Civitas Batavorum, Vrije Universiteit Amsterdam.;;;;;
66;Titelberg;;Luxembourg;Gallia Belgica;109381;;;49,540277999;5,859722000;Settlement;Oppidum/vicus;-100;300;Minimum number of individuals;MNI;882;Laubenheimer, F. (1998). “Les Amphores du Titelberg,” in F. Laubenheimer, ed., Les amphores en Gaule 2: Production et circulation. Paris. Pp. 107-142. ;;;;;
67;Trier Kaiserthermen;Augusta Treverorum;Germany;Gallia Belgica;108894;;;49,746883007;6,634751001;Settlement;Colonia;300;375;Minimum number of individuals;MNI;60;Hussong, L. v. and Cu?ppers, H. (1972). Die Trierer Kaiserthermen: Die spätrömische und fru?hmittelalterliche Keramik, Trier.;;;;;
68;Vechten;Fectio;Netherlands;Germania Inferior;98956;;;52,057731407;5,161012618;Military;Vexillation/Auxiliary;4;275;Rims, bases, and handles;RBH;29;Van der Werff, J.H. (2004). Amphoras from Vechten (excavations 1946-47), in F. Vermeulen, K. Sas and W. Dhaeze (eds) Archaeology in Confrontation: Aspects of Roman military presence in the northwest. Studies in Honour of Prof. Em. Hugo Thoen, Gent, 287-304.;;;;;
69;Velsen;Flevum;Netherlands;Germania;99058;;;52,460391603;4,632448075;Military;Naval/Vexillation;10;48;Minimum number of individuals;MNI;258;Goudswaard, B. (1990). Amforen van Velsen 1. Inhoud aan de verpakking: een materiaalstudie naar bevoorrading, Doctoraalscriptie Universiteit van Amsterdam.;;;;;
70;Venlo;;Netherlands;Germania Inferior;109300;;;51,369739151;6,168615805;Settlement;Vicus;1;200;Rims, bases, and handles;RBH;875;Hupperetz, W. (1998). “Uitpakken 1: Romeinse amforen uit Venlo,” Archeologie in Limburg 77: 48-51. ;;;;;
71;Vetera I;Castra Vetera;Germany;Germania Inferior;108867;;;51,642223333;6,490124290;Military;Legion;-16;69;Total sherds;Total;275;Hanel, N. (1995). Vetera I: Die Funde aus den römischen Lagern auf dem Fürstenberg bei Xanten. Köln. ;;;;;
72;Vindonissa Holzbau 1;Vindonissa;Switzerland;Germania Superior;177661;;;47,481828274;8,221169821;Military;Legion;15;45;Minimum number of individuals;MNI;27;Martin-Kilcher, S. (2003). Wein-Olivenöl-Fischsaucen: Amphoren aus den stratifizerten Befunden der 1. und 2. Holzbauperiode, in A. Hagendorn et al. (eds) Zur Frühzeit von Vindonissa, Brugg, 351-60. ;;;;;
73;Vindonissa Holzbau 2;Vindonissa;Switzerland;Germania Superior;177661;;;47,481828274;8,221169821;Military;Legion;45;69;Minimum number of individuals;MNI;100;Martin-Kilcher, S. (2003). Wein-Olivenöl-Fischsaucen: Amphoren aus den stratifizerten Befunden der 1. und 2. Holzbauperiode, in A. Hagendorn et al. (eds) Zur Frühzeit von Vindonissa, Brugg, 351-60. ;;;;;
74;Voorburg;Forum Hadriani;Netherlands;Germania Inferior;98918;;;52,076157999;4,362540999;Settlement;Civitas Capital;47;270;Minimum number of individuals;MNI;113;Van Kerckhove, J. (2014). Het Romeinse aardewerk, in M. Driessen and E. Besselsen (eds) Voorburg-Arentsburg, Een Romeinse havenstad tussen Rijn en Maas, (Themata 7), Amsterdam, 321-472.;;;;;
75;Waldgirmes;;Germany;Germania;109098;;;50,583029999;8,542250000;Settlement;Vicus;-4;16;Maximum number of individuals;MAX;1089;Ehmig. U. (2015). Die Amphoren funde, in A. Becker and G. Rasbach (eds) Waldgirmes: die Ausgrabungen in der spätaugusteischen Siedlung von Lahnau-Waldgirmes (1993–2009). Band I: Befunde und Funde, Darmstadt, 273–86.;;;;;
76;Walheim;;Germany;Germania Superior;119042;;;49,010073943;9,153947575;Military;Auxiliary/numerus;105;160;Minimum number of individuals;MNI;87;Carreras Monfort, C. (2004). “Report on the amphorae from Walheim,” in K.  Kortüm, ed., Walheim I: Das Kastell II und die nachfolgende Besiedlung.  Stuttgart. Pp. 507-515.;;;;;
77;Winsum;Giricaemium?;Netherlands;Germania;;;53846;53,331199999;6,515700000;Military;Auxiliary?;4;55;Rims, bases, and handles;RBH;48;Galestin, M.C. (2003). Winsum-Bruggeburen, second report on the excavation. The Roman pottery, Palaeohistoria, 43/44, 435–67.;;;;;
78;Worms;Borbetomagus;Germany;Germania Superior;108820;;;49,630629948;8,357865900;Settlement;Civitas Capital;14;406;Maximum number of individuals;MAX;486;Ehmig, U. (2007). Die römischen Amphoren im Umland von Mainz (Frankfurter archäologische Schriften 5). Wiesbaden.;;;;;
